Data Table,,,,,,
Name,,1,2,3,4,5
White Tablecloth,1,196.8813,138.8139,253.1159,200.203,5.81E+01
,2,154.796,39.5513,79.5186,117.6763,48.563
,3,119.0978,87.11406,100.5067,116.3257,63.8264
,,,,,,
Density,,,,,,0.126
,,,,,,
Name,,1,2,3,4,5
Gray Interlocks,1,59.7013,84.7791,88.5625,100.486,60.2085
,2,6.37E+01,48.01508,42.1379,64.637,22.8141
,3,3.67E+01,18.1566,37.36211,6.35E+01,49.91
,,,,,,
Density,,,,,,0.22
,,,,,,
Name,,1,2,3,4,5
Black Denim,1,142.5961,597.6506,243.2439,5.32E+01,8.12E+02
,2,163.0052,591.5618,243.792,5.81E+01,147.6062
,3,215.3533,106.9159,451.2601,102.6982,326.812
,,,,,,
Density,,,,,,0.348
,,,,,,
Name,,1,2,3,4,5
Deep Brown Shirt,1,8.84E+01,125.4344,131.1685,148.5839,8.92E+01
,2,9.43E+01,7.10E+01,6.24E+01,9.56E+01,3.38E+01
,3,5.44E+01,2.69E+02,5.53E+01,9.39E+01,7.39E+01
,,,,,,
Density,,,,,,0.136
,,,,,,
Name,,1,2,3,4,5
T-shirt,1,88.3641,125.4304,131.2241,148.5831,8.92E+01
,2,9.43E+01,7.10E+01,6.24E+01,9.56E+01,3.38E+01
,3,5.44E+01,2.69E+01,5.54E+01,9.39E+01,7.39E+01
,,,,,,
Density,,,,,,0.155
,,,,,,
Name,,1,2,3,4,5
Brown Jean,1,324.166,305.1072,306.9439,314.4309,9.96E+01
,2,370.5627,301.9988,307.6356,343.6858,181.0492
,3,489.5667,545.818,569.4348,607.2179,400.8575
,,,,,,
Density,,,,,,0.326
,,,,,,
Name,,1,2,3,4,5
Sparkle Fleece,1,300.8732,189.7227,181.05774,180.8037,106.4142
,2,202.3347,189.0788,177.7668,125.5836,4.56E+01
,3,230.7677,199.8939,155.4507,117.8579,6.59E+01
,,,,,,
Density,,,,,,0.264
,,,,,,
Name,,1,2,3,4,5
Pink Nylon,1,277.8152,268.3414,286.6649,256.2968,153.8224
,2,271.1983,300.5514,252.4478,222.3068,8.59E+01
,3,235.297,241.6024,207.9928,317.3593,108.8402
,,,,,,
Density,,,,,,0.195
